From,To,perfect_match_percent,threshold_pass_percent,failed_percent,total_success_rate,total_observations,successful_observations,failed_observations,total_routes,single_route_observations,multi_route_observations,expected_observations,missing_observations,data_coverage_percent,id
10582,1073,100,0,0,100,384,384,0,384,384,0,384,0,100,137
10582,1317,100,0,0,100,384,384,0,384,384,0,384,0,100,138
1059,1117,100,0,0,100,384,384,0,384,384,0,384,0,100,139
1059,11301,100,0,0,100,384,384,0,384,384,0,384,0,100,140
1059,11302,100,0,0,100,384,384,0,384,384,0,384,0,100,141
1059,2271,100,0,0,100,384,384,0,384,384,0,384,0,100,142
10607,1373,100,0,0,100,384,384,0,384,384,0,384,0,100,143
10607,8039,100,0,0,100,384,384,0,384,384,0,384,0,100,144
10608,283,100,0,0,100,384,384,0,384,384,0,384,0,100,145
10608,9054,100,0,0,100,384,384,0,384,384,0,384,0,100,146
10611,10558,100,0,0,100,384,384,0,384,384,0,384,0,100,147
337,335,100,0,0,100,384,384,0,384,384,0,384,0,100,148
10611,11375,100,0,0,100,384,384,0,384,384,0,384,0,100,149
10611,7080,100,0,0,100,384,384,0,384,384,0,384,0,100,150
10612,1201,100,0,0,100,384,384,0,384,384,0,384,0,100,151
10612,1207,100,0,0,100,384,384,0,384,384,0,384,0,100,152
10612,1209,100,0,0,100,384,384,0,384,384,0,384,0,100,153
10613,11952,100,0,0,100,384,384,0,384,384,0,384,0,100,154
10613,7245,100,0,0,100,384,384,0,384,384,0,384,0,100,155
10613,9232,100,0,0,100,384,384,0,384,384,0,384,0,100,156
337,339,100,0,0,100,384,384,0,384,384,0,384,0,100,157
10616,1247,100,0,0,100,384,384,0,384,384,0,384,0,100,158
10633,2061,100,0,0,100,384,384,0,384,384,0,384,0,100,159
10633,2063,100,0,0,100,384,384,0,384,384,0,384,0,100,160
10634,2167,100,0,0,100,384,384,0,384,384,0,384,0,100,161
10634,4181,96.875,0,3.125,96.875,384,372,12,799,151,233,384,0,100,162
10647,301,100,0,0,100,384,384,0,384,384,0,384,0,100,163
10647,303,100,0,0,100,384,384,0,384,384,0,384,0,100,164
10684,77,100,0,0,100,384,384,0,384,384,0,384,0,100,165
10684,79,100,0,0,100,384,384,0,384,384,0,384,0,100,166
10689,3974,100,0,0,100,384,384,0,384,384,0,384,0,100,167
10689,7186,100,0,0,100,384,384,0,384,384,0,384,0,100,168
10689,7238,100,0,0,100,384,384,0,384,384,0,384,0,100,169
10696,10901,100,0,0,100,384,384,0,384,384,0,384,0,100,170
10697,12100,100,0,0,100,384,384,0,384,384,0,384,0,100,171
10697,3856,100,0,0,100,384,384,0,384,384,0,384,0,100,172
339,337,100,0,0,100,384,384,0,384,384,0,384,0,100,173
10700,3710,100,0,0,100,384,384,0,384,384,0,384,0,100,174
10700,537,100,0,0,100,384,384,0,384,384,0,384,0,100,175
10700,553,100,0,0,100,384,384,0,384,384,0,384,0,100,176
10701,3542,100,0,0,100,384,384,0,384,384,0,384,0,100,177
10701,9616,100,0,0,100,384,384,0,421,347,37,384,0,100,178
10765,11412,100,0,0,100,384,384,0,384,384,0,384,0,100,179
10703,10407,100,0,0,100,384,384,0,384,384,0,384,0,100,180
10703,4251,100,0,0,100,384,384,0,384,384,0,384,0,100,181
10703,681,100,0,0,100,384,384,0,384,384,0,384,0,100,182
10706,11739,100,0,0,100,384,384,0,384,384,0,384,0,100,183
1073,10582,100,0,0,100,384,384,0,384,384,0,384,0,100,184
1073,10809,100,0,0,100,384,384,0,384,384,0,384,0,100,185
1073,9478,100,0,0,100,384,384,0,384,384,0,384,0,100,186
10734,7097,100,0,0,100,384,384,0,384,384,0,384,0,100,187
1075,10809,100,0,0,100,384,384,0,384,384,0,384,0,100,188
