kid,Id,code_a,dir_a,azi_a,code_b,dir_b,azi_b,code_start,dir_start,code_end,dir_end,travel_mode,azi_a_raw,azi_b_raw,azi_a_sw,azi_b_sw,azi_a_pl,azi_b_pl,axis_fix,geometry_wkt
470,470-51,1,N,15.83044989727704,5,S,195.83069382195134,5,S,1,N,5-1,15.83044989727704,195.83069382195134,67.76075983646535,247.76153133788785,18.563127086786295,198.5631270867863,0,"LINESTRING (35.15176 32.82296, 35.15221 32.8243)"
1205,1205-37,7,W,253.20784384174223,3,E,73.2067163962161,3,E,7,W,3-7,253.20784384174223,73.2067163962161,191.82043073626818,11.820125601263385,255.7047943201731,75.70479432017311,0,"LINESTRING (35.15156 32.82296, 35.14948 32.82243)"
248,248-51,1,N,356.6206923451424,5,S,176.62039734086014,5,S,1,N,5-1,356.6206923451424,176.62039734086014,94.81211805070129,274.81678702770387,356.0451034448948,176.04510344489475,0,"LINESTRING (35.1992 31.785, 35.19864 31.7931)"
1235,1235-26,6,SW,212.42859031039097,2,NE,32.42733542971061,2,NE,6,SW,2-6,212.42859031039097,32.42733542971061,227.73034434058687,47.72850719478487,216.69653726870527,36.696537268705285,0,"LINESTRING (35.29144 31.97229, 35.28907 31.96911)"
1234,1234-37,7,W,269.79174485646286,3,E,89.78173275840685,3,E,7,W,3-7,269.79174485646286,89.78173275840685,180.14909062854522,0.14905597444328578,269.8182054344644,89.81820543446442,0,"LINESTRING (35.28915 31.96904, 35.27024 31.96898)"
1226,1226-26,6,SW,222.40418819192408,2,NE,42.40114996643342,2,NE,6,SW,2-6,217.6076265496859,37.60514018453989,222.40418819192408,42.40114996643342,221.97521965880637,41.97521965880637,1,"LINESTRING (35.13153 31.56628, 35.12678 31.561)"
1236,1236-48,8,NW,322.3218018650668,4,SE,142.3184976213082,4,SE,8,NW,4-8,322.3218018650668,142.3184976213082,137.8640984734953,317.86801000911,317.73049897575805,137.73049897575805,0,"LINESTRING (35.0594 32.2594, 35.05321 32.26621)"
25,25-15,5,S,182.15821358523752,1,N,2.1574193641058343,1,N,5,S,1-5,182.15821358523752,2.1574193641058343,266.93303308246885,86.91383081812039,182.53762294192987,2.5376229419298775,0,"LINESTRING (34.83162 32.22751, 34.83013 32.19389)"
5,5-51,1,N,6.276172737301958,5,S,186.27678075333273,5,S,1,N,5-1,6.276172737301958,186.27678075333273,81.0787066728504,261.08373875707144,7.373013845799193,187.3730138457992,0,"LINESTRING (34.83189 32.2275, 34.83303 32.23631)"
7,7-15,5,S,192.50424578090687,1,N,12.502646188517616,1,N,5,S,1-5,192.50424578090687,12.502646188517616,252.4475842545744,72.44101608520182,194.62087398863454,14.620873988634537,0,"LINESTRING (34.83162 32.2275, 34.82862 32.216)"
1168,1168-48,8,NW,301.18777429780533,4,SE,121.17560123152167,4,SE,8,NW,4-8,301.18777429780533,121.17560123152167,156.97464585433667,336.98143436060644,297.2881441652604,117.28814416526039,0,"LINESTRING (34.92832 31.96534, 34.90533 31.9772)"
1173,1173-84,4,SE,149.10279897784392,8,NW,329.1061390882975,8,NW,4,SE,8-4,149.10279897784392,329.1061390882975,310.4426480718967,130.4375004334363,144.93532911675214,324.93532911675214,0,"LINESTRING (34.9283 31.9651, 34.93461 31.95611)"
2234,2234-84,4,SE,120.51769455357433,8,NW,300.53150942651337,8,NW,4,SE,8-4,120.51769455357433,300.53150942651337,337.51742732015464,157.50991300232593,116.68785272100465,296.6878527210046,0,"LINESTRING (34.9283 31.9651, 34.9544 31.95198)"
668,668-48,8,NW,308.24743549034145,4,SE,128.24309994682147,4,SE,8,NW,4-8,308.24743549034145,128.24309994682147,151.060084749496,331.0632834541331,303.96198850273026,123.96198850273025,0,"LINESTRING (35.19787 31.74347, 35.18963 31.74902)"
259,259-15,5,S,159.18339698251322,1,N,339.1859850626686,1,N,5,S,1-5,159.18339698251322,339.1859850626686,298.45884837732115,118.45247298856431,156.01828747992926,336.01828747992926,0,"LINESTRING (35.19784 31.74331, 35.20276 31.73225)"
668,668-84,4,SE,128.86363815628465,8,NW,308.86809998595305,8,NW,4,SE,8-4,128.86363815628465,308.86809998595305,330.52095825866706,150.51759243449868,124.55437794349149,304.5543779434915,0,"LINESTRING (35.18927 31.74923, 35.19775 31.74339)"
246,246-51,1,N,15.375810718917975,5,S,195.37698952122022,5,S,1,N,5-1,15.375810718917975,195.37698952122022,68.59040575702582,248.59441680771903,17.840204307699857,197.84020430769985,0,"LINESTRING (35.18963 31.74902, 35.19187 31.75598)"
246,246-15,5,S,197.41555442098536,1,N,17.414333520322828,1,N,5,S,1-5,197.41555442098536,17.414333520322828,245.90918837357097,65.90554618667679,200.1576108945847,20.157610894584693,0,"LINESTRING (35.19156 31.75561, 35.18924 31.74929)"
247,247-51,1,N,11.094863205193136,5,S,191.0962949876322,5,S,1,N,5-1,11.094863205193136,191.0962949876322,74.37464222199046,254.38147180075634,12.927505065565896,192.92750506556587,0,"LINESTRING (35.19187 31.75598, 35.19459 31.76783)"
