data_id,name,segment_id,route_alternative,requested_time,timestamp,day_in_week,day_type,duration,static_duration,distance,speed,url,polyline,is_valid,valid_code,hausdorff_distance,hausdorff_pass,link_id,date,hour_of_day,iso_week,weekday_index,daytype,is_holiday,holiday_name
317283918,s_1-5,1530526,1,08:45:00,2025-10-01 08:45:39+03:00,יום ד,ערב חג,173,181,4661,96.9919,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317283918&a=1&du=173,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,8,40,2.0,weekday,False,
317284203,s_1-5,1530526,1,09:00:00,2025-10-01 09:01:45+03:00,יום ד,ערב חג,173,181,4661,96.9919,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317284203&a=1&du=173,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,9,40,2.0,weekday,False,
317290466,s_1-5,1530526,1,09:15:00,2025-10-01 09:15:39+03:00,יום ד,ערב חג,176,181,4661,95.3386,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317290466&a=1&du=176,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,9,40,2.0,weekday,False,
317291110,s_1-5,1530526,1,09:30:00,2025-10-01 09:31:44+03:00,יום ד,ערב חג,175,181,4661,95.8834,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317291110&a=1&du=175,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,9,40,2.0,weekday,False,
317298837,s_1-5,1530526,1,09:45:00,2025-10-01 09:45:38+03:00,יום ד,ערב חג,174,181,4661,96.4345,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317298837&a=1&du=174,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,9,40,2.0,weekday,False,
317299630,s_1-5,1530526,1,10:00:00,2025-10-01 10:01:45+03:00,יום ד,ערב חג,177,181,4661,94.8,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317299630&a=1&du=177,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,10,40,2.0,weekday,False,
317299967,s_1-5,1530526,1,10:15:00,2025-10-01 10:15:37+03:00,יום ד,ערב חג,174,181,4661,96.4345,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317299967&a=1&du=174,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,10,40,2.0,weekday,False,
317308119,s_1-5,1530526,1,10:30:00,2025-10-01 10:31:43+03:00,יום ד,ערב חג,174,181,4661,96.4345,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317308119&a=1&du=174,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,10,40,2.0,weekday,False,
317308246,s_1-5,1530526,1,10:45:00,2025-10-01 10:45:40+03:00,יום ד,ערב חג,174,181,4661,96.4345,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317308246&a=1&du=174,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,10,40,2.0,weekday,False,
317315150,s_1-5,1530526,1,11:00:00,2025-10-01 11:01:43+03:00,יום ד,ערב חג,176,181,4661,95.3386,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317315150&a=1&du=176,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,11,40,2.0,weekday,False,
