link_id,daytype,hour_of_day,avg_n_valid,total_valid_n,total_not_valid,avg_dur,avg_dist,avg_speed,n_days,avg_static_dur,std_dur,std_static_dur
s_1-8052,holiday,12,4.0,4,0,143.75,1043.0,26.698574,1,48.0,23.428970670233607,0.0
s_1-8052,holiday,13,4.0,4,0,158.25,1043.0,25.11315,1,48.0,41.620307543313515,0.0
s_1-8052,holiday,14,4.0,4,0,91.0,1043.0,42.432198,1,48.0,17.73884626086676,0.0
s_1-8052,holiday,15,4.0,4,0,87.5,1043.0,48.698853,1,48.0,35.874782229304195,0.0
s_1-8052,holiday,16,4.0,4,0,98.75,1043.0,43.062523,1,48.0,46.16185293796888,0.0
s_1-8052,holiday,17,4.0,4,0,148.0,1043.0,25.381126,1,48.0,3.559026084010437,0.0
s_1-8052,holiday,18,4.0,4,0,53.25,1043.0,73.39918,1,48.0,11.586630226256467,0.0
s_1-8052,holiday,19,4.0,4,0,41.25,1043.0,91.352875,1,48.0,2.872281323269015,0.0
s_1-8052,holiday,20,4.0,4,0,41.25,1043.0,91.291855,1,48.0,2.6299556396765835,0.0
s_1-8052,holiday,21,4.0,4,0,41.75,1043.0,90.17435,1,48.0,2.500000000000001,0.0
s_1-8052,holiday,22,4.0,4,0,40.75,1043.0,92.20947,1,48.0,1.2583057392117922,0.0
s_1-8052,holiday,23,4.0,4,0,42.25,1043.0,89.47658,1,48.0,4.031128874149275,0.0
s_1-8052,weekday,0,4.0,4,0,39.75,1043.0,94.501076,1,48.0,0.9574271077563378,0.0
s_1-8052,weekday,1,4.0,4,0,39.25,1043.0,95.8021,1,48.0,1.707825127659933,0.0
s_1-8052,weekday,2,4.0,4,0,39.5,1043.0,95.19108,1,48.0,1.7320508075688779,0.0
s_1-8052,weekday,3,4.0,4,0,39.0,1043.0,96.4355,1,48.0,1.8257418583505538,0.0
