link_id,percent_valid,hours_with_data,hours_valid,hours_dropped,percent_valid_hours,days_covered
s_1101-1099,100.0,96,96,0,100.0,4
s_1101-1105,100.0,96,96,0,100.0,4
s_11044-11288,100.0,96,96,0,100.0,4
s_11044-11986,100.0,96,96,0,100.0,4
s_11044-39,100.0,96,96,0,100.0,4
s_11045-10811,100.0,96,96,0,100.0,4
s_11045-11291,100.0,96,96,0,100.0,4
s_1105-1101,100.0,96,96,0,100.0,4
s_1105-1109,100.0,96,96,0,100.0,4
s_11050-9732,100.0,96,96,0,100.0,4
s_11053-9827,100.0,96,96,0,100.0,4
s_11056-7271,100.0,96,96,0,100.0,4
s_1109-1105,100.0,96,96,0,100.0,4
s_1109-12139,100.0,96,96,0,100.0,4
s_1109-4031,100.0,96,96,0,100.0,4
s_11097-7093,100.0,96,96,0,100.0,4
s_11097-9619,100.0,96,96,0,100.0,4
s_1113-11303,100.0,96,96,0,100.0,4
s_1113-4031,100.0,96,96,0,100.0,4
s_1115-1117,100.0,96,96,0,100.0,4
s_1115-11303,100.0,96,96,0,100.0,4
s_1115-1165,100.0,96,96,0,100.0,4
s_1115-9456,100.0,96,96,0,100.0,4
s_1117-1059,100.0,96,96,0,100.0,4
s_1117-1115,100.0,96,96,0,100.0,4
s_1117-9150,100.0,96,96,0,100.0,4
s_11176-11185,100.0,96,96,0,100.0,4
s_11185-11176,100.0,96,96,0,100.0,4
s_11185-1743,100.0,96,96,0,100.0,4
s_11205-11349,100.0,96,96,0,100.0,4
s_11205-649,100.0,96,96,0,100.0,4
s_11205-9251,100.0,96,96,0,100.0,4
s_11218-1301,100.0,96,96,0,100.0,4
s_11218-1337,100.0,96,96,0,100.0,4
s_11222-599,100.0,96,96,0,100.0,4
s_11222-7046,100.0,96,96,0,100.0,4
s_11223-1908,100.0,96,96,0,100.0,4
s_11223-7193,100.0,96,96,0,100.0,4
s_11224-335,100.0,96,96,0,100.0,4
s_11224-4080,100.0,96,96,0,100.0,4
s_11225-11993,100.0,96,96,0,100.0,4
s_11225-4186,100.0,96,96,0,100.0,4
s_11225-4219,100.0,96,96,0,100.0,4
s_11230-1923,100.0,96,96,0,100.0,4
s_11230-3026,100.0,96,96,0,100.0,4
s_11231-10024,100.0,96,96,0,100.0,4
s_11231-12131,100.0,96,96,0,100.0,4
s_11232-4095,100.0,96,96,0,100.0,4
s_11232-7200,100.0,96,96,0,100.0,4
s_11233-11439,100.0,96,96,0,100.0,4
s_11233-11440,100.0,96,96,0,100.0,4
s_1127-12614,100.0,96,96,0,100.0,4
s_1127-8070,100.0,96,96,0,100.0,4
s_11288-10793,100.0,96,96,0,100.0,4
s_11288-11044,100.0,96,96,0,100.0,4
s_11288-12131,100.0,96,96,0,100.0,4
s_11288-4205,100.0,96,96,0,100.0,4
s_11289-11348,100.0,96,96,0,100.0,4
s_11289-4074,100.0,96,96,0,100.0,4
s_11290-10916,100.0,96,96,0,100.0,4
s_11290-8009,100.0,96,96,0,100.0,4
s_11290-9276,100.0,96,96,0,100.0,4
s_11291-11045,100.0,96,96,0,100.0,4
s_11291-97,100.0,96,96,0,100.0,4
s_11292-3011,100.0,96,96,0,100.0,4
s_11292-9157,100.0,96,96,0,100.0,4
s_11295-7234,100.0,96,96,0,100.0,4
s_11295-7235,100.0,96,96,0,100.0,4
s_11296-933,100.0,96,96,0,100.0,4
s_11296-935,100.0,96,96,0,100.0,4
s_11297-10765,100.0,96,96,0,100.0,4
s_11297-935,100.0,96,96,0,100.0,4
s_11298-11299,100.0,96,96,0,100.0,4
s_11299-11298,100.0,96,96,0,100.0,4
s_11299-7222,100.0,96,96,0,100.0,4
s_11300-11301,100.0,96,96,0,100.0,4
s_11300-11985,100.0,96,96,0,100.0,4
s_11301-1059,100.0,96,96,0,100.0,4
s_11301-11300,100.0,96,96,0,100.0,4
s_11302-1059,100.0,96,96,0,100.0,4
s_11303-1113,100.0,96,96,0,100.0,4
s_11303-1115,100.0,96,96,0,100.0,4
s_11304-8070,100.0,96,96,0,100.0,4
s_11304-9478,100.0,96,96,0,100.0,4
s_11305-1077,100.0,96,96,0,100.0,4
s_11305-4082,100.0,96,96,0,100.0,4
s_11306-10616,100.0,96,96,0,100.0,4
